ID,Task Name,Start Date,Duration,Predecessors,Group,Notes
1,Definición del proyecto y stack tecnológico,2026-05-04,2d,,Análisis y diseño,Cierre de la idea final
2,Diseño del formato CodeAtlas (ia-doc),2026-05-04,3d,1,Análisis y diseño,Frontmatter YAML + secciones por tipo
3,Esquema relacional inicial,2026-05-05,2d,1,Análisis y diseño,users + projects + diagrams
4,Inicialización Express + MySQL pool,2026-05-06,1d,1,Backend,
5,Schema BD (users + projects + diagrams),2026-05-06,1d,3,Backend,
6,Autenticación JWT + bcrypt,2026-05-06,2d,4;5,Backend,
7,CRUD de proyectos,2026-05-08,1d,6,Backend,
8,Tabla diagrams + persistencia del modelo,2026-05-08,1d,5;7,Backend,
9,Pipeline del parser (extract + YAML + validate),2026-05-06,2d,2,Parser de documentación,
10,Construcción del modelo unificado,2026-05-08,1d,9,Parser de documentación,
11,Resolución de referencias cruzadas,2026-05-08,1d,10,Parser de documentación,
12,Cálculo del layout automático por columnas,2026-05-09,1d,10,Parser de documentación,
13,Inicialización Vue + Vite + Pinia,2026-05-06,1d,1,Frontend,
14,Router + guards de autenticación,2026-05-07,1d,13;6,Frontend,
15,Vistas de login y registro,2026-05-07,2d,14,Frontend,
16,Dashboard y listado de proyectos,2026-05-08,2d,15;7,Frontend,
17,Vista de detalle de proyecto,2026-05-09,1d,16,Frontend,
18,Pantalla de generación de diagramas,2026-05-09,1d,17;8,Frontend,
19,Integración de Vue Flow,2026-05-09,2d,18,Visualización del diagrama,
20,FloatingEdge (aristas inteligentes),2026-05-10,1d,19,Visualización del diagrama,
21,Persistencia del layout con debounce,2026-05-10,1d,19,Visualización del diagrama,
22,Deep dive de módulos (carpetas + archivos),2026-05-10,2d,20;12,Visualización del diagrama,
23,Notas expandibles en funciones (doc:),2026-05-11,1d,22,Visualización del diagrama,
24,Visualización mejorada de flujos,2026-05-11,1d,19,Visualización del diagrama,
25,Tema claro/oscuro + store de settings,2026-05-10,1d,14,Settings de usuario,
26,Edición de perfil + cambio de contraseña,2026-05-11,1d,25;6,Settings de usuario,
27,Refinamiento de la GUIA-IA + formatos,2026-05-12,1d,2,Asistente IA (Gemini),
28,Integración del SDK de Google Gemini,2026-05-13,1d,27,Asistente IA (Gemini),
29,Endpoint /api/bot/message + responseSchema,2026-05-13,1d,28,Asistente IA (Gemini),
30,Validación de salida + reintento,2026-05-14,1d,29,Asistente IA (Gemini),
31,Tablas bot_sessions + bot_files en MySQL,2026-05-14,1d,29;5,Asistente IA (Gemini),
32,Sesiones múltiples y sidebar del bot,2026-05-15,1d,31,Asistente IA (Gemini),
33,Selector de modelo (Flash / Flash-lite),2026-05-15,1d,32,Asistente IA (Gemini),
34,Tarjeta de error de cuota + auto-retry,2026-05-16,1d,33,Asistente IA (Gemini),
35,Generación del zip con JSZip,2026-05-16,1d,30,Asistente IA (Gemini),
36,Inyección de estado de sesión al prompt,2026-05-17,1d,32;35,Asistente IA (Gemini),
37,app-doc del propio proyecto,2026-05-17,1d,35,Documentación,Test de integración del parser
38,Diagrama CodeAtlas MVP Final,2026-05-18,1d,37,Documentación,Migración del diagrama original
39,Manual técnico,2026-05-17,2d,36,Documentación,
40,Manual de usuario,2026-05-18,1d,36,Documentación,
41,Memoria del proyecto,2026-05-19,1d,39;40;38,Documentación,
42,Dockerfile + manifests Kubernetes,2026-05-18,2d,38,Despliegue y entrega,
43,Despliegue en producción (infla.cat),2026-05-20,1d,42,Despliegue y entrega,Hito
44,Configuración HTTPS + pruebas en producción,2026-05-20,1d,43,Despliegue y entrega,
45,Preparación de la defensa,2026-05-21,1d,41,Despliegue y entrega,
46,Entrega final,2026-05-22,1d,41;44;45,Despliegue y entrega,Hito final
