Task ID,Task Name,Start date,Due date,Status,Priority,List (ClickUp),Tags,Description content,Task type
1,Definición final del proyecto,2026-05-06,2026-05-06,To do,3,CodeAtlas - Planificación,Análisis y definición,Grupo: Análisis y definición | Notas: Cerrar idea final,Task
2,Requisitos funcionales y no funcionales,2026-05-07,2026-05-07,To do,3,CodeAtlas - Planificación,Análisis y definición,Grupo: Análisis y definición | Predecesoras (referencia interna): 1,Task
3,Casos de uso y UML inicial,2026-05-08,2026-05-08,To do,3,CodeAtlas - Planificación,Análisis y definición,Grupo: Análisis y definición | Predecesoras (referencia interna): 2,Task
4,Sistema de gestión vía web y originalidad,2026-05-08,2026-05-08,To do,3,CodeAtlas - Planificación,Análisis y definición,Grupo: Análisis y definición | Predecesoras (referencia interna): 2,Task
5,Ampliaciones futuras y mantenimiento,2026-05-09,2026-05-09,To do,3,CodeAtlas - Planificación,Análisis y definición,Grupo: Análisis y definición | Predecesoras (referencia interna): 3,Task
6,Formato MD y transformación visual,2026-05-08,2026-05-08,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 2,Task
7,Arquitectura general,2026-05-09,2026-05-09,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 6,Task
8,Stack frontend y backend,2026-05-09,2026-05-09,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 7,Task
9,Separación cliente servidor,2026-05-09,2026-05-09,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 7,Task
10,Modelo de datos y web services,2026-05-10,2026-05-10,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 8 | Notas: BD con al menos 3 entidades relacionadas,Task
11,Integración mínima de IA,2026-05-10,2026-05-10,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 10,Task
12,Estrategia de autenticación,2026-05-10,2026-05-10,To do,3,CodeAtlas - Planificación,Diseño funcional y técnico,Grupo: Diseño funcional y técnico | Predecesoras (referencia interna): 10,Task
